id,nome (marca),nome generico,laboratorio,quantidade,preco
1,Apricot,Apricot,"Antigen Laboratories, Inc.",18,$41.62
2,NAUSEA,TITANIUM,Natural Health Supply,45,$7.64
3,Headache Tonic,"Cardsuus marianus, Pyrethrum parthenium, Secale cornutum, Aconitum napellus, Belladonna, Bryonia,",Apotheca Company,87,$131.59
4,Furosemide,Furosemide,Sandoz Inc,77,$44.54
5,ACETAMINOPHEN AND CODEINE,Codeine Phosphate and APAP,"Northwind Pharmaceuticals, LLC",3,$154.21
6,good sense cold,"Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",L Perrigo Company,71,$132.77
7,Norepinephrine,Norepinephrine,"BioActive Nutritional, Inc.",14,$11.20
8,hydroxyzine pamoate,hydroxyzine pamoate,"PD-Rx Pharmaceuticals, Inc.",15,$168.77
9,GEMCITABINE HYDROCHLORIDE,GEMCITABINE,"APP Pharmaceuticals, LLC",87,$107.24
10,Cefoxitin,Cefoxitin,"WG Critical Care, LLC",76,$175.09
11,Night Time Original,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",Dollar General,15,$57.84
12,PETROLATUM,PETROLATUM,Jell Pharmaceuticals Pvt. Ltd.,91,$41.51
13,Almond,Almond,"Nelco Laboratories, Inc.",95,$140.30
14,olio activ mouthwash,CETYLPYRIDINIUM CHLORIDE,Kleen Test Products Corporation,13,$35.60
15,Plum,Plum,"Antigen Laboratories, Inc.",92,$81.87
16,Anti-Aging and Wrinkles,"Abrotanum, Anacardium orientale, Arsenicum album, Baryta Carbonica, Baryta muriatica, Calcarea carbonica, Calcarea fluorica, Calcarea phosphorica, Ferrum metallicum, Fucus vesiculosus, Hekla lava, Helleborus niger, Ignatia amara, Lycopodium clavatum, Nicotinamidum, Secale cornutum, Silicea",New Sun Inc.,67,$163.50
17,DAYTIME NIGHTTIME COLD/FLU,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl",Velocity Pharma,48,$180.56
18,Quetiapine Fumarate,Quetiapine Fumarate,NorthStar Rx LLC,96,$34.52
19,Tamsulosin Hydrochloride,Tamsulosin Hydrochloride,Cadila Healthcare Limited,63,$107.23
20,"Standardized Grass Pollen, Ryegrass","Standardized Grass Pollen, Ryegrass",Jubilant HollisterStier LLC,17,$91.57
21,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,Zydus Pharmaceuticals (USA) Inc.,90,$178.64
22,MILK OF MAGNESIA,MAGNESIUM HYDROXIDE,"Pharmaceutical Associates, Inc.",24,$133.71
23,dg health pain relief,Acetaminophen,"Dolgencorp, LLC",100,$80.58
24,Nifedipine,Nifedipine,TEVA PHARMACEUTICALS USA,15,$37.55
25,Salsalate,Salsalate,"AvKARE, Inc.",77,$195.49
26,Good Sense Hemorrhoidal,"glycerin, phenylephrine HCl, pramoxine HCl, white petrolatum",L. Perrigo Company,54,$92.43
27,Carbon Dioxide,Carbon Dioxide,Aero All Gas Company,32,$63.56
28,Spongia Ovi,Spongia Ovi,Uriel Pharmacy Inc.,68,$92.85
29,Nisoldipine,Nisoldipine,"United Research Laboratories, Inc.",73,$110.34
30,Ciprofloxacin,Ciprofloxacin,Sandoz Inc,98,$187.27
31,harmon face values night time relief,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Harmon Stores Inc.,75,$47.59
32,TERRACOTTA BRONZING MIST WITH SUNSCREEN SPF 10 02 MEDIUM,OCTINOXATE,Guerlain S.A.,23,$160.25
33,Tussin Sugar Free Cough,Robitussin Sugar Free Cough,"Aaron Industries, Inc.",23,$14.54
34,BANANA BOAT,"AVOBENZONE, OCTOCRYLENE, OXYBENZONE",Energizer Personal Care LLC,5,$67.98
35,Rose Iron Graphite,Rose Iron Graphite,Uriel Pharmacy Inc.,34,$22.99
36,ESIKA,Octinoxate and Oxybenzone,"Ventura Corporation (San Juan, P.R)",86,$136.45
37,Lorazepam,Lorazepam,Rebel Distributors Corp,98,$26.60
38,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate","Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate","Physicians Total Care, Inc.",20,$186.85
39,Hand Sanitizer,benzalkonium chloride,Unifirst First Aid Corporation,67,$25.97
40,Ropinirole Hydrochloride,Ropinirole Hydrochloride,"Watson Laboratories, Inc.",34,$23.16
41,Lidocaine Hydrochloride,Lidocaine Hydrochloride,Mylan Institutional LLC,92,$173.52
42,Delsym,Dextromethorphan,"Physicians Total Care, Inc.",30,$56.72
43,PAXIL,paroxetine hydrochloride,Apotex Corp,22,$190.41
44,Duramorph,morphine sulfate,Baxter Healthcare Corporation,82,$137.21
45,Softlips Coconut,lip protectant sunscreen,The Mentholatum Company,88,$175.37
46,Clindamycin in 5 Percent Dextrose,Clindamycin in 5 Percent Dextrose,Sandoz Inc,76,$5.61
47,Anastrozole,Anastrozole,Sandoz Inc,8,$31.26
48,SHISEIDO WHITE LUCENT BRIGHTENING PROTECTIVE W,"AVOBENZONE, OCTINOXATE, and OCTOCRYLENE",SHISEIDO AMERICA INC.,64,$98.13
49,SMITH BROS WILD CHERRY Throat Drops,PECTIN,Universal holdings I LLC dba Smith Brothers Company,11,$156.65
50,Rimmel London,"OCTINOXATE, TITANIUM DIOXIDE",Lancaster S.A.M.,96,$141.48
51,IBU,Ibuprofen,Unit Dose Services,54,$115.73
52,Divalproex Sodium,Divalproex Sodium,REMEDYREPACK INC.,87,$90.49
53,Quip,SODIUM MONOFLUOROPHOSPHATE,Quip NYC Inc.,90,$42.77
54,Antibactierial Hand Sanitizer,ETHYL ALCOHOL,"Ningbo Dowland Daily Health Co., Ltd",39,$195.11
55,Fentanyl,Fentanyl,Dispensing Solutions Inc.,69,$199.08
56,Treatment Set TS329197,Treatment Set TS329197,"Antigen Laboratories, Inc.",14,$2.48
57,BETULA NIGRA POLLEN,Birch River Red,"ALK-Abello, Inc.",10,$187.96
58,AMMONIA N-13,AMMONIA N-13,Precision Nuclear LLC,60,$7.94
59,Pleo Muc,mucor racemosus,Sanum Kehlbeck GmbH & Co. KG,44,$95.98
60,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,REMEDYREPACK INC.,53,$83.48
61,DG Health Cold and Flu Relief,"acetaminophen, dextromethorphan HBr, guaifenesin, phenylephrine HCl",Dolgencorp Inc,93,$126.25
62,COLISTIMETHATE SODIUM,COLISTIMETHATE SODIUM,Heritage Pharmaceuticals Inc.,11,$112.96
63,Viral Infection,"Influenza A Virus, Influenza B Virus, Morbillinum, Aconitum nap., Antimon. tart., Arnica, Arsenicum alb., Baptisia, Belladonna, Bryonia, Cantharis, Chamomilla, Gaultheria procumbens, Hepar sulph. calc., Iodium, Lachesis, Lycopodium, Merc.viv., Phosphorus, Pulsatilla, Rhus toxicodendron, Trifolium pratense, Echinacea, Hydrastis","Newton Laboratories, Inc.",56,$19.89
64,Molds - Mold Mix 4,Molds - Mold Mix 4,Jubilant HollisterStier LLC,90,$69.33
65,Risperidone,Risperidone,Unit Dose Services,50,$194.31
66,Symphytum Off Kit Refill,COMFREY ROOT,Washington Homeopathic Products,58,$180.68
67,Dove,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,59,$57.06
68,BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,Corepharma LLC.,98,$45.29
69,BACTROBAN,mupirocin,GlaxoSmithKline LLC,71,$78.95
70,Acyclovir,Acyclovir,Actavis Mid Atlantic LLC,87,$139.86
71,Nifedipine,Nifedipine,REMEDYREPACK INC.,94,$94.79
72,Cotton Candy Hand Sanitizer,ALCOHOL,ENCHANTE ACCESSORIES INC.,84,$59.16
73,Phisoderm Anti-Blemish Gel Cleanser,Salicylic acid,The Mentholatum Company,58,$85.68
74,Lorazepam,Lorazepam,REMEDYREPACK INC.,83,$11.62
75,Oticin,Chloroxylenol / Pramoxine HCl,"Teral, Inc.",63,$11.11
76,SohMed Sinus,"Acetaminophen, Guaifenesin, and Phenylephrine Hydrochloride",Sohm Inc.,11,$181.49
77,Ketorolac Tromethamine,Ketorolac Tromethamine,Teva Pharmaceuticals USA Inc,5,$85.91
78,SHISEIDO SHEER AND PERFECT COMPACT (REFILL),"OCTINOXATE, OCTOCRYLENE, and TITANIUM DIOXIDE",SHISEIDO AMERICAS CORPORATION,47,$126.05
79,ROBITUSSIN LINGERING COLD LONG-ACTING COUGHGELS,dextromethorphan hbr,Richmond Division of Wyeth,96,$50.36
80,Clonazepam,clonazepam,Accord Healthcare Inc.,46,$30.87
81,Childrens Pain and Fever,ACETAMINOPHEN,AptaPharma Inc.,47,$101.03
82,Calcitriol,Calcitriol,Cardinal Health,93,$118.46
83,Ring Relief,"Potassium Sulfate, Salicylic Acid, Silicon Dioxide, Calcium Sulfate Anhydrous, Quinine Sulfate, Allylthiourea",TRP Company,16,$19.21
84,Ribavirin,Ribavirin,Cadila Healthcare Limited,38,$32.22
85,Famciclovir,Famciclovir,"Roxane Laboratories, Inc.",84,$168.69
86,Phentermine Hydrochloride,Phentermine Hydrochloride,Teva Pharmaceuticals USA Inc,71,$73.03
87,Premsyn pms Premenstrual Syndrome Relief,Acetaminophen and Pamabrom and Pyrilamine maleate,"Chattem, Inc.",75,$128.19
88,SanaTos Severe Cold and Cough Nighttime,"Acetaminophen, Diphenhydramine hydrochloride, and Phenylephrine hydrochloride",Pharmadel LLC,60,$142.52
89,bisoprolol fumarate and hydrochlorothiazide,bisoprolol fumarate and hydrochlorothiazide,"Unichem Pharmaceuticals (USA), Inc.",2,$169.04
